Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
#YY  ,MM ,D ,hh ,mm ,WDIR, WSPD, GST,  WVHT,   DPD,   APD, MWD,   PRES,  ATMP,  WTMP,  DEWP,  VIS,  TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s,     m,   sec,   sec, deg,    hPa,  degC,  degC,  degC,  nmi,    ft
2021 ,01 ,01 ,00 ,00 ,302 , 7.9 , 9.8, 99.00, 99.00, 99.00, 999, 1024.1,   5.2,   7.4,  -3.0, 99.0, 99.00 
2021 ,01 ,01 ,00 ,10 ,301 , 7.8 ,10.1, 99.00, 99.00, 99.00, 999, 1024.2,   5.1,   7.4,  -3.0, 99.0, 99.00 
2021 ,01 ,01 ,00 ,20 ,301 , 8.1 ,10.1, 99.00, 99.00, 99.00, 999, 1024.4,   5.1,   7.4,  -2.8, 99.0, 99.00 
2021 ,01 ,01 ,00 ,30 ,305 , 7.3 , 9.0, 99.00, 99.00, 99.00, 999, 1024.6,   5.1,   7.3,  -2.8, 99.0, 99.00 
2021 ,01 ,01 ,00 ,40 ,302 , 7.2 , 9.4,  0.57,  3.45,  3.22, 294, 1024.7,   5.0,   7.3,  -2.9, 99.0, 99.00 
2021 ,01 ,01 ,00 ,50 ,307 , 7.2 , 9.0, 99.00, 99.00, 99.00, 999, 1024.9,   5.0,   7.3,  -2.9, 99.0, 99.00 
2021 ,01 ,01 ,01 ,00 ,312 , 7.9 ,10.7, 99.00, 99.00, 99.00, 999, 1024.9,   5.0,   7.4,  -2.9, 99.0, 99.00 
2021 ,01 ,01 ,01 ,10 ,311 , 8.4 ,10.6, 99.00, 99.00, 99.00, 999, 1025.2,   4.9,   7.3,  -2.8, 99.0, 99.00 
2021 ,01 ,01 ,01 ,20 ,321 , 8.2 ,10.6, 99.00, 99.00, 99.00, 999, 1025.6,   4.9,   7.4,  -2.9, 99.0, 99.00 
2021 ,01 ,01 ,01 ,30 ,310 , 8.4 ,11.6, 99.00, 99.00, 99.00, 999, 1025.7,   4.8,   7.3,  -3.5, 99.0, 99.00 
2021 ,01 ,01 ,01 ,40 ,311 , 7.1 , 8.9,  0.60,  3.23,  3.18, 301, 1026.0,   4.7,   7.3,  -3.0, 99.0, 99.00 
2021 ,01 ,01 ,01 ,50 ,314 , 8.5 ,11.0, 99.00, 99.00, 99.00, 999, 1026.0,   4.7,   7.3,  -3.3, 99.0, 99.00 
2021 ,01 ,01 ,02 ,00 ,315 , 8.6 ,11.2, 99.00, 99.00, 99.00, 999, 1026.3,   4.7,   7.3,  -3.1, 99.0, 99.00 
2021 ,01 ,01 ,02 ,10 ,315 , 7.8 , 9.7, 99.00, 99.00, 99.00, 999, 1026.5,   4.6, 999.0,  -3.6, 99.0, 99.00 
2021 ,01 ,01 ,02 ,20 ,317 , 7.4 , 9.7, 99.00, 99.00, 99.00, 999, 1026.5,   4.5,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,02 ,30 ,314 , 7.9 ,10.2, 99.00, 99.00, 99.00, 999, 1026.4,   4.4,   7.3,  -3.5, 99.0, 99.00 
2021 ,01 ,01 ,02 ,40 ,315 , 7.7 ,10.7,  0.57,  3.33,  3.29, 332, 1026.5,   4.4,   7.3,  -3.5, 99.0, 99.00 
2021 ,01 ,01 ,02 ,50 ,315 , 6.7 , 8.6, 99.00, 99.00, 99.00, 999, 1026.7,   4.3,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,03 ,00 ,315 , 7.9 ,11.6, 99.00, 99.00, 99.00, 999, 1026.5,   4.3,   7.4,  -3.5, 99.0, 99.00 
2021 ,01 ,01 ,03 ,10 ,318 , 7.7 , 9.6, 99.00, 99.00, 99.00, 999, 1026.6,   4.3,   7.4,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,03 ,20 ,313 , 8.1 ,10.4, 99.00, 99.00, 99.00, 999, 1027.0,   4.2,   7.3,  -3.6, 99.0, 99.00 
2021 ,01 ,01 ,03 ,30 ,317 , 7.7 ,10.2, 99.00, 99.00, 99.00, 999, 1027.0,   4.2,   7.4,  -3.4, 99.0, 99.00 
2021 ,01 ,01 ,03 ,40 ,318 , 8.3 ,11.2,  0.55,  3.33,  3.21, 323, 1027.4,   4.1,   7.3,  -3.5, 99.0, 99.00 
2021 ,01 ,01 ,03 ,50 ,327 , 7.8 ,10.8, 99.00, 99.00, 99.00, 999, 1027.4,   4.0,   7.3,  -3.5, 99.0, 99.00 
2021 ,01 ,01 ,04 ,00 ,329 , 7.5 , 9.3, 99.00, 99.00, 99.00, 999, 1027.4,   3.9,   7.3,  -3.6, 99.0, 99.00 
2021 ,01 ,01 ,04 ,10 ,333 , 7.4 , 9.5, 99.00, 99.00, 99.00, 999, 1027.8,   3.8,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,04 ,20 ,330 , 7.4 , 9.9, 99.00, 99.00, 99.00, 999, 1027.9,   3.6,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,04 ,30 ,326 , 7.8 ,10.1, 99.00, 99.00, 99.00, 999, 1028.1,   3.5,   7.3,  -3.9, 99.0, 99.00 
2021 ,01 ,01 ,04 ,40 ,326 , 7.8 , 9.8,  0.62,  2.94,  3.23, 321, 1028.1,   3.5,   7.3,  -3.6, 99.0, 99.00 
2021 ,01 ,01 ,04 ,50 ,329 , 8.0 ,10.1, 99.00, 99.00, 99.00, 999, 1028.1,   3.4,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,05 ,00 ,329 , 8.0 ,11.1, 99.00, 99.00, 99.00, 999, 1028.3,   3.4,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,05 ,10 ,325 , 7.6 , 9.7, 99.00, 99.00, 99.00, 999, 1028.6,   3.3,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,05 ,20 ,324 , 8.3 ,10.9, 99.00, 99.00, 99.00, 999, 1028.6,   3.2,   7.3,  -3.9, 99.0, 99.00 
2021 ,01 ,01 ,05 ,30 ,329 , 8.4 ,11.1, 99.00, 99.00, 99.00, 999, 1028.8,   3.1,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,05 ,40 ,326 , 9.0 ,11.0,  0.75,  3.23,  3.25, 339, 1028.7,   3.1,   7.3,  -3.5, 99.0, 99.00 
2021 ,01 ,01 ,05 ,50 ,334 , 8.9 ,10.8, 99.00, 99.00, 99.00, 999, 1029.0,   3.1,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,06 ,00 ,331 , 9.2 ,11.1, 99.00, 99.00, 99.00, 999, 1029.0,   3.0,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,06 ,10 ,333 , 8.7 ,10.7, 99.00, 99.00, 99.00, 999, 1029.2,   3.0,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,06 ,20 ,330 , 9.2 ,11.5, 99.00, 99.00, 99.00, 999, 1029.2,   3.0,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,06 ,30 ,328 , 8.6 ,10.8, 99.00, 99.00, 99.00, 999, 1029.5,   3.1,   7.3,  -3.3, 99.0, 99.00 
2021 ,01 ,01 ,06 ,40 ,323 , 9.0 ,10.8,  0.78,  3.33,  3.37, 333, 1029.5,   3.0,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,06 ,50 ,325 , 9.3 ,12.3, 99.00, 99.00, 99.00, 999, 1029.8,   2.9,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,07 ,00 ,332 , 9.2 ,11.0, 99.00, 99.00, 99.00, 999, 1030.0,   2.9,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,07 ,10 ,328 , 9.5 ,12.0, 99.00, 99.00, 99.00, 999, 1030.1,   2.8,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,07 ,20 ,330 , 9.2 ,11.2, 99.00, 99.00, 99.00, 999, 1030.3,   2.8,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,07 ,30 ,327 , 9.1 ,11.3, 99.00, 99.00, 99.00, 999, 1030.4,   2.7,   7.3,  -4.0, 99.0, 99.00 
2021 ,01 ,01 ,07 ,40 ,331 , 8.7 ,10.7, 99.00, 99.00, 99.00, 999, 1030.7,   2.6,   7.3,  -4.0, 99.0, 99.00 
2021 ,01 ,01 ,07 ,50 ,326 , 8.8 ,11.3, 99.00, 99.00, 99.00, 999, 1030.6,   2.6,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,08 ,00 ,332 , 9.1 ,11.1, 99.00, 99.00, 99.00, 999, 1030.6,   2.6,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,08 ,10 ,331 , 9.0 ,11.1, 99.00, 99.00, 99.00, 999, 1030.6,   2.6,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,08 ,20 ,331 , 8.8 ,10.6, 99.00, 99.00, 99.00, 999, 1030.6,   2.6,   7.3,  -3.6, 99.0, 99.00 
2021 ,01 ,01 ,08 ,30 ,329 , 8.5 ,10.0, 99.00, 99.00, 99.00, 999, 1030.6,   2.5,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,08 ,40 ,329 , 9.1 ,10.8,  0.84,  3.57,  3.42, 343, 1030.6,   2.5,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,08 ,50 ,330 , 8.4 ,10.1, 99.00, 99.00, 99.00, 999, 1030.8,   2.5,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,09 ,00 ,333 , 8.7 ,10.7, 99.00, 99.00, 99.00, 999, 1030.9,   2.4,   7.3,  -3.7, 99.0, 99.00 
2021 ,01 ,01 ,09 ,10 ,333 , 8.5 ,10.5, 99.00, 99.00, 99.00, 999, 1030.9,   2.3,   7.3,  -3.8, 99.0, 99.00 
2021 ,01 ,01 ,09 ,20 ,335 , 8.6 ,10.4, 99.00, 99.00, 99.00, 999, 1031.1,   2.3,   7.3,  -3.9, 99.0, 99.00 
2021 ,01 ,01 ,09 ,30 ,329 , 8.2 ,10.5, 99.00, 99.00, 99.00, 999, 1031.2,   2.2,   7.3,  -3.9, 99.0, 99.00 
